Student_ID,CGPA,DSA,Python,Java,C++,SQL,DBMS,Operating_System,Computer_Networks,OOPS,React,NodeJS,MongoDB,Git,Linux,AWS,Docker,Kubernetes,Machine_Learning,Communication,Presentation,Teamwork,Leadership,Critical_Thinking,Problem_Solving,Adaptability,Internships,Projects,Hackathons,Certifications,LeetCode,GitHub_Repos,Industry_Ready
S1000,7.11,86,78,49,59,40,48,45,53,88,34,99,61,27,82,29,36,16,25,77,61,72,71,50,67,83,1,0,1,1,257,14,Moderately Ready
S1001,9.59,36,31,44,37,30,50,37,74,40,77,69,40,56,20,63,14,49,76,42,89,90,29,88,79,41,1,6,2,6,278,5,Moderately Ready
S1002,8.65,85,77,98,48,42,66,62,40,63,72,23,22,56,54,82,35,75,35,90,90,69,36,69,40,82,2,1,0,4,187,10,Industry Ready
S1003,8.07,96,43,80,88,59,57,39,97,68,49,27,85,83,36,67,39,79,42,79,88,91,27,84,71,40,1,3,2,7,487,13,Industry Ready
S1004,6.17,45,88,91,84,98,68,50,69,41,95,55,30,78,79,68,87,31,60,93,91,76,21,65,87,62,0,4,2,5,186,3,Industry Ready
S1005,6.17,80,87,66,59,47,50,65,95,74,59,29,43,64,20,29,44,68,49,41,98,52,75,96,36,87,2,2,5,1,193,2,Industry Ready
S1006,5.75,41,87,35,65,42,68,62,39,47,78,49,69,35,23,48,84,14,86,90,61,55,84,71,91,64,2,6,1,6,42,7,Industry Ready
S1007,9.22,82,80,55,84,61,67,41,71,96,82,35,40,45,28,87,62,27,74,99,88,87,74,67,85,65,2,6,0,5,442,20,Industry Ready
S1008,8.08,34,31,37,73,79,77,43,45,99,67,49,44,50,64,99,77,20,99,54,86,82,88,90,73,96,2,7,4,4,201,2,Industry Ready
S1009,8.54,56,70,33,56,60,98,73,74,75,87,83,23,46,51,41,42,17,23,61,99,48,99,79,56,42,0,0,1,5,106,3,Moderately Ready
S1010,5.59,41,45,50,83,80,52,77,99,76,26,93,62,62,88,50,79,29,47,85,55,89,92,76,77,99,2,0,2,5,72,3,Industry Ready
S1011,9.67,46,33,60,77,56,95,61,42,45,66,30,66,34,33,78,37,84,69,85,56,86,55,81,72,70,2,6,2,0,220,13,Industry Ready
